students_student_id,first_name,middle_name,last_name,gender_mfu,student_address,email_adress,cell_mobile_phone,home_phone
5,Wilbert,Mia,Conroy,F,2908 Breana Streets Suite 638,rjast@example.com,620.962.4384x340,017-084-5752x96504
6,Abdul,Era,Renner,M,009 Vandervort Ferry,green.jesus@example.net,03437137203,(054)515-8842x4046
11,Ari,Jacinthe,Kessler,M,053 Candido Port Suite 568,oschamberger@example.net,207-458-7971,220.735.2352x52387
15,Cassidy,Karson,Gerhold,U,25250 Alexander Spring Apt. 106,alvera52@example.com,1-077-467-7564,715.670.8396x276
17,Alfreda,Queen,Schuster,M,1110 Kaylee Greens Apt. 491,bogan.barton@example.net,038-482-3730x66922,1-400-038-3818x39652
22,Betsy,Larue,Orn,M,71938 Dickinson Summit Suite 683,jana90@example.com,1-922-743-4349,377-581-9036
24,Yadira,Matteo,Rohan,U,3679 Huels Ranch,gusikowski.retta@example.net,084-076-8037x1728,743.322.8573x380
35,Deven,Gino,Deckow,U,49860 Cesar Pine,ezekiel53@example.com,+08(7)2834974200,+23(7)3611361591
37,Haylie,Rupert,Wiegand,U,988 Hettinger Pine Apt. 005,kschroeder@example.org,1-185-860-6666x236,048.938.2113x0806
38,Jeromy,Rebekah,Torp,F,59773 Misty Loop,dhermiston@example.net,1-197-438-2369,015.452.3914
40,Cloyd,Rolando,Kertzmann,F,437 Ambrose Flats Apt. 321,albin40@example.org,(304)107-3579,1-838-315-5041x9245
41,Adam,Caden,Roob,M,1551 Petra Terrace,kane.o'conner@example.net,1-309-808-1855,(868)144-5163
45,Flavio,Arnaldo,Conroy,F,06494 Felipa Ranch,raleigh28@example.net,(846)394-0048x51720,983-853-1844x3209
52,Jaylen,Nicola,Cummerata,U,713 Loyal Road,sfahey@example.org,(275)623-3304,383-313-3627x634
93,Lindsey,Therese,Lehner,U,6279 Vicky Ridges,hahn.elza@example.com,(651)517-2936x38712,(467)314-3743
