address_id,line_1_number_building,line_2_number_street,line_3_area_locality,town_city,zip_postcode,county_state_province,country,other_address_details
1,6207 Marks Trafficway,Apt. 516,,Port Miafurt,349,Utah,United States Minor Outlying Islands,
2,518 Dean Village,Apt. 261,,New Juliana,979,Maryland,South Georgia and the South Sandwich Islands,
3,88324 Medhurst Parkway Suite 832,Suite 435,,Jaquanmouth,937,RhodeIsland,Hungary,
4,44916 Hand Branch,Apt. 237,,New Augusta,385,Alaska,Jersey,
5,929 Hermiston Vista Suite 955,Apt. 235,,New Zachariahport,416,Louisiana,Western Sahara,
6,8559 Birdie Mountain,Suite 515,,East Percivalfurt,298,Maryland,Ethiopia,
7,0548 Xavier Ridge Apt. 397,Apt. 802,,South Jakob,356,Oklahoma,Christmas Island,
8,6355 Maida Shores Suite 839,Apt. 058,,Lake Ezraborough,269,Nevada,Marshall Islands,
9,0182 Schuppe Ferry,Suite 619,,Mckenzieton,595,Illinois,Turkey,
10,80901 Lakin Point,Apt. 948,,Adityaport,684,Wyoming,Aruba,
11,15594 Nicholaus Ports,Apt. 284,,Port Forest,697,Michigan,Djibouti,
12,11179 Price Junctions,Apt. 295,,South Brandtport,146,Colorado,Svalbard & Jan Mayen Islands,
13,1592 Marielle Throughway,Suite 482,,Hermistonburgh,772,Illinois,Grenada,
14,340 Cleta Orchard Apt. 866,Apt. 226,,South Raymond,394,Missouri,Macedonia,
15,5740 Maxwell Union Suite 546,Suite 073,,Port Johan,179,Oklahoma,Guam,
