users_user_id,users_age_category_code,users_user_category_code,user_address_id,is_buyer,is_seller,login_name,password,date_registered,first_name,middle_name,last_name,other_user_details
1,18-25,Senior Citizen,5,1,,dolor,a9dc84fe,1980-12-28 20:26:12,Madonna,Kristoffer,Jaskolski,
2,25-60,Senior Citizen,6,1,,et,7daed599,1985-06-02 00:10:47,Miguel,Dovie,Harber,
3,Over 60,Senior Citizen,15,1,,repellat,7061d718,1977-09-28 23:37:31,Robbie,Angelo,Keeling,
4,18-25,Single Mother,4,1,,laboriosam,f78651d8,2016-12-01 10:47:14,Phoebe,Mike,Kohler,
5,Over 60,Senior Citizen,10,,1,corrupti,073f78a2,1975-12-17 05:04:32,Brielle,Mariane,Haley,
6,18-25,Senior Citizen,14,1,,omnis,6d1ed7a2,1999-02-25 13:45:33,Reggie,Eulah,Ernser,
7,25-60,Student,9,1,,qui,a44394fb,1988-08-11 19:23:27,Brett,Jaylon,Runte,
8,Over 60,Senior Citizen,9,,1,ratione,6af1990c,2015-07-29 08:52:10,Porter,Creola,Mohr,
9,Over 60,Single Mother,1,1,,ut,b865e655,1993-10-17 04:08:26,Jameson,Jaylin,Rippin,
10,18-25,Single Mother,1,1,,in,bdad75c8,1980-07-04 17:28:15,Dane,Casey,Fritsch,
11,Over 60,Single Mother,11,1,,doloremque,14567850,1976-05-19 04:53:59,Gudrun,Brock,West,
12,18-25,Senior Citizen,5,,1,harum,223970d3,2006-01-19 12:22:54,Ruby,Trenton,Schulist,
13,25-60,Student,14,,1,culpa,b264c8b7,1979-03-14 08:07:49,Antonio,Kitty,Cronin,
14,Over 60,Senior Citizen,10,1,,consequatur,bd0a8b12,2006-08-20 02:16:04,D'angelo,Brisa,Nienow,
15,25-60,Student,1,1,,omnis,81cce049,2001-04-26 09:27:50,Theresa,Thurman,Bartell,
